??,a,b,r
2,7.381383,1.3679739,0.3191644
3,11.84942,1.8852005,0.2968687
4,6.774144,2.0204279,0.4031057
5,11.549559,2.1024495,0.2991618
6,12.515577,3.1120652,0.3946301
7,10.518991,2.6781297,0.3139249
9,8.478486,1.5256773,0.3394921
11,10.266904,1.828996,0.4104274
12,6.780807,0.7498994,0.4720319
13,8.84973,1.4973517,0.4170206
15,8.512049,1.4703006,0.2123208
16,5.985329,0.6285286,0.2131841
18,7.162818,1.5945459,0.3969279
20,6.060548,1.0888379,0.2794737
21,13.798215,2.8915913,0.2280215
22,11.850589,1.4551259,0.2245719
23,11.028877,2.1381659,0.3130288
24,7.651189,1.4981113,0.3620573
25,9.999647,2.0165799,0.3225495
26,11.962276,5.0557207,0.3639122
27,10.112904,3.135049,0.4543102
28,11.964932,2.021136,0.2154374
30,7.026665,1.3137516,0.1770944
31,9.939913,2.0514565,0.1778386
32,9.085838,1.4109508,0.392317
33,7.311636,0.7829058,0.3393027
34,9.386667,1.8550923,0.4364516
33,7.311636,0.7829058,0.3393027
34,9.386667,1.8550923,0.4364516
35,9.079589,1.7830772,0.3072218
37,8.436148,1.836001,0.2751585
38,9.471801,1.6610803,0.3286764
39,9.17403,1.782732,0.3462982
41,11.708934,1.6333805,0.3487404
42,10.796808,1.4823505,0.2367426
43,10.363173,3.0960895,0.3638677
44,6.149033,1.1635297,0.2649572
45,6.692691,1.5241853,0.3540746
46,6.868231,0.8872623,0.3354841
48,6.537212,1.3553258,0.2529807
49,8.332745,1.1920869,0.1932485
50,15.523675,2.8140904,0.3263879
51,9.235765,1.4126857,0.2815039
52,12.499777,1.5938802,0.3013326
53,11.492116,2.1959884,0.3460794
54,9.781838,2.1756129,0.3969474
55,11.282946,1.8724685,0.2922305
56,5.868172,1.0257715,0.5494674
57,9.155562,1.667421,0.2951551
59,12.378404,1.5614559,0.308367
60,13.627791,2.5165463,0.2101115
61,10.431416,1.6205494,0.339561
62,10.765434,2.7700936,0.3264223
63,9.892349,1.895873,0.2399871
64,9.648938,1.8880839,0.3668464
66,7.420907,1.4509712,0.2956573
68,11.171906,2.9745911,0.3469788
70,8.3046,1.4154423,0.3088522
71,11.83005,2.3827788,0.2896106
72,7.88636,1.5805131,0.3590958
73,8.870381,1.9522983,0.4135467
74,12.56975,1.6221644,0.1474823
75,9.157253,2.0710456,0.2975843
76,13.501985,3.9513254,0.3667418
77,6.610286,1.0307991,0.1977323
78,6.601457,1.884058,0.3353751
79,11.569668,3.315543,0.2999502
80,7.905575,1.5817304,0.3295843
84,8.02365,0.9547588,0.2181304
85,8.561713,2.4493193,0.3858978
86,11.267788,2.6450904,0.3457645
87,15.812899,2.5297928,0.2245546
88,4.44496,0.6224314,0.1440277
89,9.638838,1.4339407,0.255055
90,12.032058,1.8718594,0.3104127
92,8.208005,1.6267496,0.3043413
93,10.822718,2.207374,0.2974682
94,9.734339,2.1866475,0.3013028
95,13.024072,2.6466595,0.2978539
96,7.423288,1.56812,0.3954244
97,11.690183,2.1513737,0.2388739
98,10.040997,1.6543989,0.3094964
99,6.864728,0.8851116,0.1214424
100,15.158644,2.1996025,0.1998587
101,14.375467,2.6752043,0.2348938
102,14.24323,1.9473772,0.2456696
103,7.857818,1.5724351,0.3248559
104,11.523763,1.8544074,0.2062723
107,11.742625,2.365475,0.1963826
108,6.483283,1.313072,0.2204758
113,8.611225,2.1795566,0.3003566
114,6.68924,1.2882943,0.3828649
115,10.038798,2.2954418,0.30673
116,10.320565,1.6669761,0.3065616
117,11.781195,2.8385886,0.3734344
118,11.439794,2.2706998,0.3084248
119,9.924435,2.2007574,0.3872976
120,9.516392,2.4919345,0.3086869
121,9.718405,2.0072431,0.3445276
122,7.815289,1.2095295,0.3286739
123,9.257413,2.1673675,0.348356
124,6.515609,1.1565343,0.3349557
125,13.740771,3.067576,0.256393
126,7.646353,2.1582871,0.2519312
127,12.690239,2.3914918,0.3678396
128,11.321563,3.8579633,0.3642955
129,7.755024,1.5799479,0.3652009
130,11.938246,2.6725546,0.3451394
131,13.546444,2.604667,0.293125
132,10.880201,1.783465,0.3055392
134,8.990959,1.6970253,0.2623493
135,9.496129,2.2321383,0.2420921
137,8.890718,1.5832907,0.3411166
138,9.702064,2.3140133,0.4025946
140,6.266072,0.9081539,0.2894121
141,10.618176,1.4520426,0.1922964
142,11.43704,1.8243641,0.2866257
143,7.765124,1.3703096,0.3106459
144,8.901236,1.5888753,0.3592666
145,6.195504,1.6764913,0.5102333
147,7.297533,1.4199999,0.2424137
148,15.025301,4.0008587,0.2718495
149,14.962104,2.6488437,0.2095836
150,11.498268,3.1398898,0.3125752
151,13.345682,2.2220573,0.3027409
152,9.907091,2.1303996,0.2519794
153,9.531233,1.9905098,0.405054
154,6.967288,1.5783362,0.5079514
156,8.720686,1.8041297,0.3657156
157,8.450699,1.4862595,0.3864814
158,11.163066,3.0713106,0.3745366
159,11.297998,1.8750398,0.3320932
160,8.319609,1.9472829,0.3867366
161,8.472736,1.2478156,0.2390542
162,9.924929,2.0369434,0.3286262
164,11.145434,1.9935885,0.3250154
165,8.301502,1.568655,0.2826887
167,7.881081,1.50852,0.2956775
168,8.970148,2.5302622,0.4264533
169,13.589493,2.5511894,0.2931162
170,7.91132,1.506543,0.6761224
171,9.099887,2.5198286,0.3925698
172,11.745948,2.3648004,0.3265279
174,9.986779,2.2323151,0.3081624
175,8.769542,1.3467779,0.3693257
176,7.487595,1.4871525,0.4164913
177,8.507153,1.7605722,0.4042884
178,7.237484,1.3821797,0.3098714
179,9.282535,2.0070868,0.253433
180,11.000088,2.3461386,0.389054
181,8.95447,1.2015875,0.3068158
182,11.010896,2.8567308,0.400146
183,10.133917,2.3074874,0.3202311
185,7.628814,1.4908098,0.2817206
186,9.995676,1.4520592,0.3153192
187,9.553184,2.2239562,0.3755694
188,9.674627,1.6899744,0.2474313
190,11.092585,2.1078559,0.3248831
191,7.709834,1.63905,0.432132
192,11.635568,2.5554164,0.3449696
193,12.10016,2.7167664,0.3531692
195,9.804575,2.520046,0.4299497
197,7.69779,1.4451165,0.3619633
199,8.388817,1.6095863,0.4238053
200,8.349951,2.0442323,0.2702443
202,6.253398,0.9547921,0.359569
203,10.088699,1.9589291,0.3225533
204,10.165088,1.9453904,0.3121878
205,8.953948,1.5258356,0.2995027
206,6.565595,1.5149277,0.3348635
207,9.978892,1.7554334,0.2182361
208,6.576969,0.6638344,0.2617063
209,8.914779,2.0927508,0.4222614
210,9.702218,3.2679941,0.4240959
211,9.197204,2.0940476,0.2057258
212,10.778668,3.1508409,0.316945
213,8.507184,1.1550983,0.2410003
214,8.16983,1.3986972,0.2654826
215,10.795026,1.8606671,0.3024225
216,10.907018,2.2633628,0.2885986
