F1 Tree,a,b,r
1,1.3722649,2.1013035,0.641
2,0.925397,2.4986168,0.89203771
3,1.1096848,2.4930228,1.40758239
4,0.9641354,2.1034045,0.43561258
5,1.3761859,3.8475596,0.88687021
6,1.5590477,3.5091662,0.71258949
7,1.2063454,4.6168894,0.93708297
9,0.8657779,1.3504452,0.68823414
11,1.1574945,1.918458,0.70567862
12,1.0078252,2.536396,1.37776281
13,1.0330174,2.9643512,1.01574248
15,0.7816105,1.5969594,0.47615268
16,0.5100761,0.3206359,0.29197568
18,1.0334289,2.6941755,0.92311975
20,0.6977822,1.169134,0.32221054
21,1.4633121,1.6179117,0.42354428
22,1.3272996,2.7571359,0.83545785
23,1.3375007,3.4616091,0.88996224
24,0.6136639,0.5863444,0.69471996
25,1.3279086,4.4213838,0.74175024
26,0.6448922,3.2818402,0.6155905
27,1.308858,5.9062641,0.84853354
28,1.1823951,2.5663689,0.65618383
30,0.625951,1.181516,0.65978025
31,0.9204969,2.7494682,0.85605145
32,1.3238034,1.9316406,0.61864942
33,0.7680515,4.0500087,2.54217468
34,1.2703233,2.571,0.94103311
34,1.2703233,2.571,0.94103311
35,0.9979753,2.3903523,0.6153871
37,1.3588513,3.9583476,0.67699697
38,0.9881542,2.6925857,1.2195949
39,1.4733234,1.4412842,0.36912899
41,1.1675339,1.2268238,0.49969446
42,0.9854418,1.5305444,0.71150311
43,0.7171984,3.6237234,1.15340396
44,0.6329972,0.9009419,0.60909437
45,0.8392559,1.8926042,0.69043987
46,0.913301,1.7230014,0.8986147
48,0.9119954,1.7592043,0.05634349
49,1.1312819,2.4820222,0.55342601
50,1.7641866,3.5219354,0.71814803
51,1.4517762,3.0544992,0.75359688
52,1.4254645,3.4839769,1.29653431
53,1.525917,2.9661581,0.61084979
54,1.1382377,1.661385,0.42838388
55,1.4121457,2.9610664,0.84251241
56,0.9470123,1.4331381,0.52362159
57,1.0567289,2.2017771,1.09433132
59,1.5055307,2.2595114,0.69770159
60,1.4741077,2.3855592,0.54908038
61,1.3981917,1.245562,0.28681763
62,1.3654669,2.8807171,0.55172871
63,1.4356636,2.6015414,0.4277267
64,1.2718204,2.4288574,0.71778025
66,0.7994805,1.4247248,0.36929398
68,1.3666391,1.7942386,0.4303706
70,1.1352647,2.66524,0.9618954
71,1.1551124,4.2848982,0.61094393
72,1.0473262,3.0366163,0.84036802
73,1.0544137,2.4034164,0.71548496
74,1.2016078,2.3030423,0.87256588
75,0.9736045,1.9442192,0.68413537
76,1.6452147,4.5232965,0.59067109
77,0.8602882,2.9984796,0.90127435
78,0.8040887,3.3786287,0.74583333
79,1.2064891,3.00489,0.58089852
80,0.8359256,1.0431236,0.5164716
84,0.9255121,1.6474209,0.68636701
85,1.0261665,2.9956299,0.63178172
86,1.5627352,2.7840797,0.61891865
87,2.090665,2.1145915,0.30658062
88,0.2870541,2.0948487,3.36761759
89,1.0814456,1.32273,0.41748121
90,1.2686319,1.3900927,0.53464855
92,0.8933177,1.5163757,0.59737262
93,1.3153738,2.1312784,0.56457109
94,1.1602304,2.2005281,0.63510595
95,1.2500647,3.7734824,0.74671406
