"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X44_P1","X1_by_X3_P1","X23_P1","X8_P1","X44_by_X8_P1","X42_P1","X3_by_X42_P1","X21_P4","X12_P1","X12_by_X42_P1","X12_by_X21_P3","X12_by_X44_P1","X12_by_X3_P1","X23_by_X8_P3"
"2","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X37_P1","X3_by_X37_P1","X1_by_X3_P3","X8_P1","X17_P1","X17_by_X37_P1","X17_by_X3_P1","X4_P4","X22_P1","X27_P3","X22_by_X37_P1","X22_by_X3_P1","X1_by_X27_P3","X17_by_X22_P1"
"3","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X1_by_X3_P3","X17_P1","X17_by_X3_P1","X8_P1","X3_by_X8_P1","X17_by_X8_P1","X47_P1","X3_by_X47_P1","X17_by_X47_P1","X19_P4","X15_P3","X27_P3","X47_by_X8_P1","X13_P1"
"4","mu_t","X1_P3","X5_P2","X3_P3","X3_by_X5_P2","X1_by_X5_P1","X36_P1","X3_by_X36_P1","X8_P1","X3_by_X8_P1","X19_P1","X1_by_X3_P3","X16_P4","X35_P3","X2_P1","X19_by_X3_P1","X3_by_X35_P3","X32_P1","X4_P1","X19_by_X32_P1"
"5","mu_t","X1_P3","X5_P2","X3_P3","X3_by_X5_P2","X1_by_X5_P1","X40_P1","X3_by_X40_P1","X8_P1","X37_P1","X20_P1","X9_P4","X3_by_X8_P1","X12_P3","X1_by_X3_P3","X20_by_X37_P1","X50_P2","X43_P3","X47_P1","X3_by_X47_P1"
"6","mu_t","X1_P3","X5_P2","X3_P3","X3_by_X5_P2","X1_by_X5_P1","X1_by_X3_P3","X8_P3","X3_by_X8_P1","X7_P1","X12_P1","X16_P4","X3_by_X7_P1","X7_by_X8_P1","X12_by_X3_P1","X12_by_X8_P1","X33_P3","X41_P4","X1_by_X33_P3","X12_by_X7_P1"
"7","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X22_P1","X22_by_X3_P1","X1_by_X3_P3","X8_P3","X22_by_X8_P1","X43_P4","X35_P1","X3_by_X8_P1","X22_by_X35_P3","X14_P1","X50_P4","X42_P1","X24_P3","X46_P2"
"8","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X1_by_X3_P3","X48_P1","X3_by_X48_P1","X8_P1","X40_P1","X3_by_X40_P1","X40_by_X48_P1","X41_P4","X30_P3","X3_by_X30_P3","X34_P1","X3_by_X34_P1","X34_by_X40_P1","X32_P4"
"9","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X4_P1","X1_by_X3_P1","X7_P1","X8_P1","X7_by_X8_P1","X4_by_X7_P1","X3_by_X7_P1","X47_P4","X45_P1","X25_P3","X38_P1","X3_by_X38_P1","X38_by_X4_P1","X18_P3"
"10","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X28_P1","X8_P1","X41_P1","X3_by_X41_P1","X28_by_X41_P1","X49_P4","X1_by_X3_P3","X31_P1","X31_by_X41_P3","X3_by_X31_P1","X41_by_X8_P1","X26_P3","X36_P3","X47_P1"
"11","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X3_P1","X3_by_X5_P2","X41_P1","X1_by_X5_P1","X35_P1","X8_P1","X3_by_X41_P1","X30_P1","X19_P4","X3_by_X35_P1","X36_P1","X21_P1","X3_by_X30_P1","X7_P1","X46_P3","X25_P1"
"12","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X1_by_X3_P3","X8_P3","X3_by_X8_P1","X15_P1","X42_P1","X3_by_X42_P1","X47_P4","X15_by_X8_P1","X35_P1","X3_by_X35_P1","X45_P3","X35_by_X8_P1","X2_P1","X17_P3"
"13","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X44_P1","X8_P1","X49_P1","X3_by_X8_P1","X46_P1","X1_by_X3_P3","X27_P4","X20_P3","X3_by_X46_P1","X47_P1","X36_P1","X36_by_X49_P1","X21_P3","X43_P4"
"14","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X25_P1","X25_by_X3_P1","X8_P1","X34_P1","X6_P1","X3_by_X8_P1","X10_P4","X26_P1","X26_by_X6_P1","X29_P2","X49_P3","X1_by_X3_P3","X3_by_X49_P3","X25_by_X6_P1"
