"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","mu_t","X1","X5","X3","X1:X5","X3:X5","X44","X1:X3","X23","X8","X44:X8","X42","X3:X42","X21","X12","X12:X42","X12:X21","X12:X44","X12:X3","X23:X8"
"2","mu_t","X1","X5","X1:X5","X3","X3:X5","X37","X3:X37","X1:X3","X8","X17","X17:X37","X17:X3","X4","X22","X27","X22:X37","X22:X3","X1:X27","X17:X22"
"3","mu_t","X1","X5","X3","X1:X5","X3:X5","X1:X3","X17","X17:X3","X8","X3:X8","X17:X8","X47","X3:X47","X17:X47","X19","X15","X27","X47:X8","X13"
"4","mu_t","X1","X5","X3","X3:X5","X1:X5","X36","X3:X36","X8","X3:X8","X19","X1:X3","X16","X35","X2","X19:X3","X3:X35","X32","X4","X19:X32"
"5","mu_t","X1","X5","X3","X3:X5","X1:X5","X40","X3:X40","X8","X37","X20","X9","X3:X8","X12","X1:X3","X20:X37","X50","X43","X47","X3:X47"
"6","mu_t","X1","X5","X3","X3:X5","X1:X5","X1:X3","X8","X3:X8","X7","X12","X16","X3:X7","X7:X8","X12:X3","X12:X8","X33","X41","X1:X33","X12:X7"
"7","mu_t","X1","X5","X1:X5","X3","X3:X5","X22","X22:X3","X1:X3","X8","X22:X8","X43","X35","X3:X8","X22:X35","X14","X50","X42","X24","X46"
"8","mu_t","X1","X5","X3","X1:X5","X3:X5","X1:X3","X48","X3:X48","X8","X40","X3:X40","X40:X48","X41","X30","X3:X30","X34","X3:X34","X34:X40","X32"
"9","mu_t","X1","X5","X1:X5","X3","X3:X5","X4","X1:X3","X7","X8","X7:X8","X4:X7","X3:X7","X47","X45","X25","X38","X3:X38","X38:X4","X18"
"10","mu_t","X1","X5","X1:X5","X3","X3:X5","X28","X8","X41","X3:X41","X28:X41","X49","X1:X3","X31","X31:X41","X3:X31","X41:X8","X26","X36","X47"
"11","mu_t","X1","X5","X3","X1:X3","X3:X5","X41","X1:X5","X35","X8","X3:X41","X30","X19","X3:X35","X36","X21","X3:X30","X7","X46","X25"
"12","mu_t","X1","X5","X3","X1:X5","X3:X5","X1:X3","X8","X3:X8","X15","X42","X3:X42","X47","X15:X8","X35","X3:X35","X45","X35:X8","X2","X17"
"13","mu_t","X1","X5","X1:X5","X3","X3:X5","X44","X8","X49","X3:X8","X46","X1:X3","X27","X20","X3:X46","X47","X36","X36:X49","X21","X43"
"14","mu_t","X1","X5","X1:X5","X3","X3:X5","X25","X25:X3","X8","X34","X6","X3:X8","X10","X26","X26:X6","X29","X49","X1:X3","X3:X49","X25:X6"
"15","mu_t","X1","X5","X1:X5","X3","X3:X5","X1:X3","X20","X20:X3","X8","X3:X8","X41","X14","X28","X3:X41","X41:X8","X28:X3","X20:X41","X16","X16:X28"
"16","mu_t","X1","X5","X3","X1:X3","X3:X5","X14","X14:X5","X8","X36","X14:X8","X1:X5","X3:X36","X40","X2","X14:X36","X10","X10:X3","X47","X2:X8"
"17","mu_t","X1","X5","X1:X5","X3","X3:X5","X6","X8","X32","X3:X32","X35","X32:X35","X1:X3","X30","X32:X8","X32:X6","X29","X3:X35","X48","X45"
"18","mu_t","X1","X5","X1:X5","X3","X3:X5","X28","X28:X3","X8","X29","X29:X3","X28:X29","X1:X3","X39","X11","X38","X11:X3","X48","X3:X48","X28:X48"
"19","mu_t","X1","X5","X3","X1:X5","X3:X5","X1:X3","X13","X8","X13:X3","X46","X3:X46","X13:X46","X10","X25","X39","X3:X39","X13:X39","X1:X25","X45"
"20","mu_t","X1","X5","X3","X1:X3","X3:X5","X40","X1:X5","X37","X8","X47","X3:X37","X48","X4","X3:X48","X40:X48","X37:X40","X40:X47","X37:X5","X3:X47"
"21","mu_t","X1","X5","X3","X3:X5","X1:X5","X39","X3:X39","X13","X8","X39:X8","X36","X13:X3","X13:X8","X14","X13:X39","X19","X1:X3","X15","X3:X8"
"22","mu_t","X1","X5","X1:X5","X3","X1:X3","X3:X5","X9","X8","X3:X8","X19","X19:X8","X29","X3:X9","X45","X19:X9","X23","X32","X3:X45","X23:X9"
"23","mu_t","X1","X5","X1:X5","X3","X3:X5","X7","X3:X7","X8","X4","X4:X7","X3:X4","X26","X1:X3","X27","X27:X3","X33","X4:X8","X42","X3:X8"
"24","mu_t","X1","X5","X3","X1:X5","X3:X5","X36","X3:X36","X1:X3","X8","X3:X8","X31","X30","X31:X8","X31:X36","X21","X21:X30","X3:X31","X2","X12"
"25","mu_t","X1","X5","X3","X1:X5","X3:X5","X37","X8","X3:X37","X32","X1:X3","X24","X13","X13:X37","X13:X3","X48","X20","X3:X48","X12","X29"
"26","mu_t","X1","X5","X3","X1:X5","X3:X5","X18","X8","X12","X12:X3","X47","X1:X3","X41","X23","X3:X47","X23:X41","X38","X39","X12:X47","X3:X38"
"27","mu_t","X1","X5","X3","X1:X5","X3:X5","X34","X8","X3:X34","X20","X1:X3","X32","X33","X32:X34","X3:X32","X22","X16","X16:X20","X20:X3","X10"
"28","mu_t","X1","X5","X1:X5","X3","X3:X5","X1:X3","X34","X8","X3:X34","X41","X34:X41","X3:X41","X21","X19","X19:X34","X19:X3","X43","X37","X34:X37"
